217 3 5 5 5 1 100000 1e-05
0 54 -1
-0.000653251191 -0.000262298388 9.54378414 1.74795794
-0.00145124993 0.0020626206 9.64637566 1.74743039
-0.00122641027 0.00172973389 9.77363205 1.74755757
-0.000986065716 0.0016145166 9.89612961 1.74793536
-0.0016589216 -0.000501126924 9.99783039 1.74725685
-0.0010969938 0.00190905342 10.1198997 1.74682073
-0.000387745968 0.00195705285 10.2393847 1.74802062
0.000471975625 0.00169057387 10.3560505 1.74753284
-0.00137699547 0.0000586347269 10.518281 1.74670745
-0.00176781649 0.000704051519 10.6421127 1.74703361
-0.00494777365 -0.000365978718 10.766078 1.74390735
-0.00644300878 -0.00166281802 10.8811569 1.74277976
-0.00617241533 -0.00141420681 11.0011339 1.74264215
-0.00504409941 -0.00109509111 11.1065617 1.74427299
-0.00443984941 -0.0000487745783 11.2318573 1.74476244
-0.00380317541 -0.000432624132 11.3472443 1.7455183
-0.00340232346 0.000893898017 11.5153046 1.74650778
-0.00289792102 -0.000170814179 11.6578264 1.74650281
-0.00257685571 -0.000853702426 11.7888031 1.74693265
-0.00182502228 -0.000264427275 11.9350986 1.74708068
-0.000841081899 -0.00146539044 12.0396919 1.74714181
-0.000534216058 0.0000160698237 12.2054834 1.74769632
0.000301643769 -0.000840524619 12.3516932 1.74704618
0.0000312879129 0.000804522191 12.4833012 1.74841988
-0.00211908133 0.000877472572 12.6062536 1.74696204
-0.00236136746 0.000291284145 12.7648344 1.74703816
-0.00200252747 -0.0000709443848 12.8716717 1.74750922
-0.00242550089 0.00247120787 12.9751749 1.7463118
-0.00215351209 -0.00012133475 13.1045179 1.74593822
-0.000413804461 0.0015817479 13.2759504 1.74839924
-0.00240986538 0.000417056028 13.4632597 1.74667389
-0.0018989339 0.000307425216 13.5677204 1.74747787
-0.00116911239 0.000917893776 13.6700191 1.74820326
-0.00036270186 0.000955716474 13.887229 1.74797872
0.000357683515 -0.00102302199 14.0900145 1.74724609
-0.000755588 0.00133531576 14.2201014 1.74741723
-0.00162877317 -0.000245460309 14.3286428 1.7472296
-0.00260480889 -0.000995278358 14.4376078 1.74693845
-0.000252266502 -0.000282594672 14.5512609 1.74838322
-0.00171442493 0.000110850597 14.7017031 1.74673285
-0.00147447328 -0.000586243754 14.8301687 1.7475631
-0.00140798965 0.00247333641 15.0743599 1.74641503
-0.00225693546 -0.000986847444 15.1761074 1.74724548
-0.00212960411 0.00207880046 15.2964001 1.74613855
-0.00175146875 -0.00178735005 15.4539747 1.74654435
-0.000840044755 0.00171681633 15.5832014 1.74708
-0.00119903125 0.00196502055 15.7272367 1.74700161
-0.00133534928 -0.00106431881 15.8319225 1.74646508
-0.000989957829 -0.000358811114 15.9333391 1.74824182
-0.00146089098 0.00250067376 16.0893269 1.74686651
-0.0026451298 -0.000714322669 16.2197838 1.74662002
-0.00164941198 -0.000677397242 16.3627949 1.74760025
-0.00128673017 -0.00170889404 16.5884266 1.74617077
-0.00119969842 -0.000315603946 16.7575779 1.74823547
-0.00239098538 -0.00197861809 16.9573441 1.74507286
-0.00142035459 -0.000275230443 17.0749168 1.7474174
-0.00230214116 -0.000094744697 17.2284012 1.74677983
-0.00136052398 -0.00152413431 17.3745155 1.74667626
-0.0019282318 -0.000108824817 17.4793148 1.74717766
-0.00317921513 0.000100535901 17.6287041 1.74633517
-0.00197711308 -0.000449725048 17.7486076 1.7466348
-0.000846756448 0.000252443773 17.9000473 1.74670002
-0.00151564507 0.0000663222381 18.0279942 1.74719892
-0.000982637517 -0.0000571191304 18.1392841 1.74657578
-0.00127564021 -0.0000671966409 18.2480583 1.74688902
-0.000143881436 -0.000265736249 20 1.74686493
