time_step Pventricular Vventricular Paorta Qaorta Patrial Vatrial Qatrial
196 31436.0189 201.086924 31410.3294 0.386475208 31017.7827 155.088914 0
197 31236.0815 201.082012 31018.4099 0.596031558 31184.4487 155.922244 0
198 31343.1591 201.074522 31029.3968 0.901932746 31351.1147 156.755574 0
199 31739.8946 201.052727 31434.5013 1.20142047 31520.0363 157.600181 -2.25554476
200 42300.924 200.978496 32118.4922 11.3892479 31688.9578 158.444789 0
201 48197.027 200.887013 52676.0679 6.90740173 31855.6238 159.278119 0
202 59215.607 200.791893 54011.9279 12.1166571 32022.2898 160.111449 0
203 75630.5695 200.643054 70115.3823 17.6510733 32188.9558 160.944779 0
204 96762.3182 200.441974 91886.224 22.5650293 32355.6218 161.778109 0
205 121095.397 200.199214 117732.542 25.9868323 32522.2878 162.611439 0
206 146640.248 199.932299 145308.665 27.3962343 32688.9538 163.444769 0
207 171417.043 199.661475 172134.444 26.7685729 32855.6198 164.278099 0
208 193910.536 199.404868 196218.797 24.5527688 33022.2858 165.111429 0
209 214361.072 199.169535 216493.298 22.5138294 33188.9518 165.944759 0
210 230660.129 198.965374 234933.426 18.3185264 33355.6178 166.778089 0
211 244705.536 198.793929 247124.203 15.9704375 33522.2838 167.611419 0
212 257489.796 198.640976 258907.801 14.6201726 33688.9498 168.444749 0
213 269950.457 198.496732 270412.429 14.2285228 33855.6158 169.278079 0
214 282709.294 198.353146 282526.154 14.4887677 34022.2818 170.111409 0
215 295982.649 198.205733 295563.396 14.9937417 34188.9478 170.944739 0
216 309658.111 198.053738 309340.39 15.4052803 34355.6138 171.778069 0
217 324252.384 197.894974 323416.823 16.3475777 34522.2798 172.611399 0
218 337987.133 197.73567 338926.077 15.5132539 34688.9458 173.444729 0
219 351614.086 197.581072 351829.644 15.4063254 34855.6118 174.278059 0
220 365256.972 197.426905 365350.187 15.4269342 35022.2778 175.111389 0
221 379110.111 197.271536 379011.077 15.6469683 35188.9438 175.944719 0
222 393293.1 197.113327 393074.914 15.9948063 35355.6098 176.778049 0
223 407750.358 196.951887 407589.957 16.2932735 35522.2758 177.611379 0
